	11-1163-Wt-P8	12-1163-Wt-P9	16-1164-IgAKO-P8	17-1164-IgAKO-P9	2-1161-Wt-P9	21-1165-Wt-P8	22-1165-Wt-P9	26-1166-IgAKO-P8	27-1166-IgAKO-P9	41-1169-Wt-P8	42-1169-Wt-P9	46-1170-IgAKO-P8	47-1170-IgAKO-P9	6-1162-IgAKO-P8	7-1162-IgAKO-P9
Ddx21	0.217109609006	-1.25517987599	0.336838945268	-1.04903776065	-1.49323025639	0.0647932607083	-1.17350718232	0.251198972336	-0.640972570437	1.72369346841	0.605931756094	1.70475288743	1.09146653686	0.341464997917	-0.725322788237
Limd1	-0.539181473773	1.44933592775	-0.554801379288	1.2313153698	0.675048606853	-0.523900391403	1.10725193703	-0.861233473858	0.881455108948	-1.72104696598	0.197789311767	-1.6657024982	0.186440599401	-0.794532827875	0.931762148828
Rasgrp2	-1.31233770959	0.495650552373	-0.94297164667	0.659372645303	0.99944471233	-0.920453885054	1.20687612728	-1.05051453549	0.894368734884	-0.86572131241	0.791634458917	-1.48696571665	0.531935399598	-0.532660271235	1.53234244642
Sp100	-0.718547505531	0.774066210895	-0.789241404463	0.694937958286	1.09498737018	-1.03638474894	0.537372980028	-0.956272000236	1.01866724233	-0.244612758127	1.61616849095	-0.691404936968	1.15113324882	-1.85245339488	-0.598416752359
Psmb8	2.07016568593	-0.239122081568	0.184919676216	0.314663087027	-0.478697438368	0.526705316362	-0.315510701366	-0.127827940704	-0.301577933305	0.278358382045	0.695884914118	0.498867266856	0.178652512888	-0.306532265077	-2.97894848105
Cotl1	0.15801997766	-1.69949770389	1.35956228385	1.69440772183	-0.789803274791	0.787913717806	1.10584753285	-0.115332521697	-0.449938755804	-0.467998179092	-0.867069054225	0.662354705564	-1.22953680831	0.861396293582	-1.01032593534
Prkcd	-0.780986022882	1.04790512709	-1.12127981922	0.547337685036	1.32397517371	-0.0681053112716	1.8058185428	-0.928049305844	0.840301367361	-1.02471336967	0.426079129202	-1.79127142294	0.0918644040558	-0.74679450852	0.37791833109
Serpina3g	0.768112657136	-1.10992525551	0.687936543646	-0.605818248748	-1.39538500257	0.766237707386	-1.05356537772	1.21345745676	-0.72209308117	1.41511926045	-0.913185369214	1.54126870749	-0.417830462437	0.718416551933	-0.892746087423
Trim59	-0.653795357945	1.1118620546	-1.36857411011	0.726754237306	0.983309462991	-1.29619357413	1.00120616749	-1.18678455169	0.880206861114	-0.561210887657	1.11519248742	-0.907522432055	1.08741260776	-1.20877650063	0.27691353554
Pyhin1	-0.220209958063	0.656608467877	-0.798116278817	-0.432424920599	0.109133372629	-1.31329467436	-0.499449812179	-0.479739027087	0.386070520203	0.949053424743	1.71700150132	1.03786907081	1.62790422638	-1.3619665454	-1.37843936746
Zdhhc18	-0.998302999368	0.946072205353	-0.869009165067	0.798992517314	0.535940302157	-0.49871994569	1.01327171379	-0.643334030465	0.826510512303	-1.42988817715	0.191137596405	-1.72418146537	0.119149573001	-0.248819543	1.98118090579
Eif3a	0.468178248115	-0.754029960928	0.3724118458	-1.25870984307	-1.18924323949	0.291451081537	-1.69141955965	0.554682927479	-0.796640304327	1.7011873187	0.534740853128	1.68947588215	0.412441089964	0.513316806848	-0.847843146253
Sf3b3	1.21599531471	0.912274484205	0.786616213198	0.713490714079	0.630227485602	0.763243853238	0.213653071197	0.511102952285	0.760175750093	-1.32792061687	-1.4673033056	-1.35094861956	-1.72928620921	0.303079877753	-0.934400965115
Mtss1	-1.07234071336	0.945108466377	-1.13968902465	0.741767153469	1.18300158177	-1.02145985509	0.881867132588	-1.03156845554	1.06206703968	-0.885200342302	0.871819941168	-1.26831914711	0.504135949057	-0.949185495036	1.17799576897
Msl2	-0.47419477767	1.03061415839	-0.0915213994219	1.17529119629	-0.109921894237	-0.550255969349	1.14456907313	-0.759189931209	0.461389281492	-1.53891135644	-0.667273687285	-1.62470447814	-0.377046630428	0.330679407409	2.05047700748
Bcl6	-1.04632593265	1.14883411996	-1.18168474429	0.620476582543	0.941571269554	-0.974723029452	1.19738677088	-1.20345128587	1.04432304791	-0.84877429107	0.803286809451	-1.06014246788	0.868849815065	-1.07739290968	0.767766245531
Fuca1	0.101271209521	-1.58853546174	0.557177578902	-1.01270160752	-0.987344669631	0.781797898943	-1.03291332823	1.01837844265	-0.738661472393	1.87509267203	-0.01994319261	1.37195473081	-0.284919609015	0.820497239027	-0.861150430759
Eef1d	1.61651643369	-0.811924808254	1.37573798965	-0.317882028625	-1.08182421753	0.632077179749	-1.23985868991	0.70645473676	-0.672709951116	0.595083558997	-0.981790416668	1.24213158754	-0.818559775319	0.90652873865	-1.14998033761
Tagln2	-0.308671550155	0.971922211075	-0.909276950757	1.09979866329	0.529978730896	-1.35104411757	0.950125251625	-1.4354290183	0.939475780488	-1.08771390007	0.89541308094	-0.756680768026	1.30674593911	-1.24390323248	0.399259879925
Bmp2k	-0.258558183222	-1.21272861737	1.07246909131	-0.993686704515	-1.58317872419	0.64137026151	-1.04461968129	0.912244649027	-1.02803526824	1.29839098265	-0.272789882021	1.40551592255	0.00175621075294	1.28168184455	-0.219831901508
Card11	-1.07724057379	-1.49941736055	-0.377026077823	-1.22743978591	-0.529939631981	-0.579006718255	-0.773758395269	0.989965213307	-0.653296622124	1.84682238662	1.1771332934	1.25027693192	0.892015656478	0.345022750703	0.215888933275
Trib2	-1.13153486612	0.681444831052	-0.982753223493	0.928720172651	1.03675783497	-1.2795096637	0.930058969779	-1.37440567746	0.668889752345	-0.855061268744	0.961741614743	-0.928907097182	0.886829032923	-0.796645265749	1.25437485399
Rsu1	1.10652113611	-0.853406557445	0.934377612032	-0.846517149342	-1.02250034605	1.25187737814	-0.973579939501	1.03012470352	-0.876218257045	0.989277005057	-0.854615758475	1.12027357305	-0.876808148317	1.01426330039	-1.14306855211
Snd1	0.867967846011	-1.2930090025	0.791777761928	-0.984016374415	-1.03384248992	1.00847453628	-1.05543307047	1.26490381903	-0.588905286071	1.28009143308	-0.449806328946	1.05214484365	-0.461260954197	0.93901112681	-1.33809786028
Fam101b	-0.607341325056	1.15607020329	-0.929672814407	0.896433539592	1.02749552621	-1.12679179252	0.968162923637	-1.10348658398	1.00666953697	-1.29578348307	0.687641537125	-1.28823282796	0.680979380339	-0.999180497748	0.927036677592
Crip1	-0.554754766601	-1.24088229573	1.59584382849	0.296301604512	-1.48210402407	-0.349421557218	-1.01357644346	1.19737208134	0.149839686753	-0.568389536044	-0.919971174013	1.56343699245	0.607957643513	1.21776470372	-0.499416743666
Tbc1d14	-0.629430402262	1.26224207255	-0.963288049693	0.786236462804	1.47029020332	-0.81144951285	1.12961115329	-1.26957096139	0.848508464285	-0.961802305061	0.676689370576	-1.3996537455	0.364778396439	-1.09858029333	0.59541914682
Eif3b	1.70882981124	-0.489695094813	1.03876282737	-0.208728529721	-1.21628444241	1.31102083499	-0.65573356908	1.18388901966	0.0887663890051	0.040496100883	-1.17821598798	-0.0566947785929	-1.29723184227	0.99851028278	-1.26769102107
Fcrl1	-0.991761976105	-0.091306949478	-0.472371535575	0.380803999336	1.3552917236	-2.30269303328	-1.33605323036	-0.1121619211	1.31423899528	0.303065031092	1.30151904745	0.377278314212	0.634761100018	-0.718724083544	0.358114518449
Sesn3	0.648707628862	-0.562327569335	1.40530166364	-0.917418669643	-0.974104684512	1.59166247811	-0.56130286445	1.07312813245	-0.971025088599	0.61633790578	-1.29250908403	0.389875237757	-1.09931121322	1.30895856072	-0.655972433527
Tmem154	0.68874145337	-1.34060703683	0.867857202615	-1.17963706611	-0.347206375067	0.692884383332	-1.33838449788	1.06909961276	-0.687422863349	1.37698918662	-0.485434389918	1.19690162529	-0.905355062357	1.22428044529	-0.832706617768
Tpt1	1.08617926612	-0.880908376207	0.681477077216	0.0509295927928	-1.62449723333	0.719279010341	-1.1213215489	0.626504112962	-0.737854980162	1.12579974298	0.0370576232844	1.68328753916	0.180077648954	-0.0689908966189	-1.75701857859
Capg	0.535027594477	-0.252622656997	0.237561947251	-1.07012465928	-0.673448959423	0.954924427018	-0.399705127775	0.131933573524	-1.86273239443	2.20423312445	0.206348745226	1.24866809146	-0.723168952799	0.540400944524	-1.07729569722
Dnase1l3	1.13573092074	-0.758231009579	1.05414055773	-0.92041097337	-0.880890557729	1.08197324546	-1.12057590067	1.15093832668	-0.881901673781	0.932013217257	-0.989116015219	0.948749454091	-0.902996646778	1.14725722826	-0.996680173092
Trim35	0.942861619252	-0.52163640257	1.20997550642	-0.357413538775	-0.951094192337	1.65338528979	-0.620505978211	1.37102862154	-0.565122728558	0.674905772574	-1.52289661654	0.126175509341	-1.27848320759	0.810086157909	-0.971265812244
Treml2	-1.86532447331	1.02106630964	-1.15615904397	0.519566334869	1.0221233556	-1.10460066905	0.944805125536	-1.08099887551	0.707389103419	-0.242717941022	0.982412325599	-0.522227868183	0.844126737577	-1.04297413263	0.973513711431
Cct2	1.95417893802	-0.897565564386	1.3258670616	-0.243807386707	-1.23799254101	0.194384253121	-0.513635433189	0.484139307142	-0.577882371864	0.322874556424	-0.776441925861	1.48836581375	-0.586544090481	0.639110305088	-1.57505092164
Hnrnpa0	-0.889492990104	-0.601225118188	-1.18238584388	-0.0780002425773	-1.06208007864	0.809313033291	1.90548961592	-0.181099439299	0.956819638718	-0.849727724444	0.31496345396	-1.36310668114	0.0500660004861	0.362824260637	1.80764211526
Tpm4	-0.73910330802	1.30474919156	-0.846488708102	0.874492695831	1.12636567925	-1.10430645905	0.94369204291	-1.34110646052	1.0159404285	-0.952888278028	0.95721232154	-0.846484855862	1.02430027703	-1.19171031866	-0.224664248383
